genename	celltype1	celltype2	celltype3
AC006254.1	PFPP11		
AC015871.1	PFPP11		
AC090360.1	PFPP11		
ACAA2	PFPP11		
ACACB	PFPP11		
ACADM	PFPP11		
ACADSB	PFPP11		
ACAP3	PFPP11		
ACAT1	PFPP11		
ACBD5	PFPP11		
ACE	PFPP11		
ACLY	PFPP11		
ACOT2	PFPP11		
ACOT4	PFPP11		
ACOX1	PFPP11		
ACR	PFPP11		
ACRV1	PFPP11		
ACTA1	PFPP11		
ACVR2A	PFPP11		
ACY1	PFPP11		
ACYP2	PFPP11		
ADAM28	PFPP11		
ADAM9	PFPP11		
ADAMTS15	PFPP11		
ADAMTS17	PFPP11		
ADAT2	PFPP11		
ADCY7	PFPP11		
ADH5	PFPP11		
ADI1	PFPP11		
ADK	PFPP11		
ADM2	PFPP11		
AGA	PFPP11		
AGAP5	PFPP11		
AGFG1	PFPP11		
AGK	PFPP11		
AGMO	PFPP11		
AHR	PFPP11		
AHSG	PFPP11		
AHSP	PFPP11		
AK4	PFPP11		
AK9	PFPP11		
AKAP10	PFPP11		
AL590452.1	PFPP11		
AL592284.1	PFPP11		
AL627171.2	PFPP11		
ALDH1A2	PFPP11		
ALDH8A1	PFPP11		
ALG1	PFPP11		
ALG10	PFPP11		
ALG1L	PFPP11		
ALOX5AP	PFPP11		
AMY2B	PFPP11		
ANAPC11	PFPP11		
ANAPC2	PFPP11		
ANGPTL4	PFPP11		
ANKEF1	PFPP11		
ANKH	PFPP11		
ANKHD1-EIF4EBP3	PFPP11		
ANKIB1	PFPP11		
ANKRD45	PFPP11		
ANKRD53	PFPP11		
ANKS3	PFPP11		
ANKZF1	PFPP11		
ANO4	PFPP11		
ANO6	PFPP11		
ANPEP	PFPP11		
ANTXR2	PFPP11		
AP006222.2	PFPP11		
AP1S1	PFPP11		
AP2M1	PFPP11		
AP3M2	PFPP11		
APBA1	PFPP11		
APC	PFPP11		
APC2	PFPP11		
APEH	PFPP11		
APIP	PFPP11		
APPL1	PFPP11		
APTX	PFPP11		
AQR	PFPP11		
ARFRP1	PFPP11		
ARHGAP45	PFPP11		
ARHGDIG	PFPP11		
ARID3A	PFPP11		
ARIH2OS	PFPP11		
ARL6IP6	PFPP11		
ARPC5L	PFPP11		
ARPIN	PFPP11		
ART3	PFPP11		
ARVCF	PFPP11		
ASB2	PFPP11		
ASB6	PFPP11		
ASPG	PFPP11		
ASPSCR1	PFPP11		
ASRGL1	PFPP11		
ATAD2B	PFPP11		
ATF1	PFPP11		
ATF5	PFPP11		
ATG10	PFPP11		
ATG12	PFPP11		
ATG4C	PFPP11		
ATP10A	PFPP11		
ATP13A4	PFPP11		
ATP1B3	PFPP11		
ATP2A1	PFPP11		
ATP2A2	PFPP11		
ATP2C1	PFPP11		
ATP2C2	PFPP11		
ATP5MG	PFPP11		
ATP5PO	PFPP11		
ATP6AP1L	PFPP11		
ATP6V0C	PFPP11		
ATP7B	PFPP11		
ATP8B3	PFPP11		
ATP9B	PFPP11		
ATRAID	PFPP11		
ATXN1	PFPP11		
ATXN10	PFPP11		
ATXN2L	PFPP11		
AUP1	PFPP11		
AZI2	PFPP11		
B3GALNT2	PFPP11		
B3GNT4	PFPP11		
B4GALNT1	PFPP11		
B4GALNT4	PFPP11		
B4GALT3	PFPP11		
B4GALT7	PFPP11		
B4GAT1	PFPP11		
BANF1	PFPP11		
BBS10	PFPP11		
BBS9	PFPP11		
BCAN	PFPP11		
BCAR1	PFPP11		
BCAS3	PFPP11		
BCL2L1	PFPP11		
BCL2L12	PFPP11		
BCL2L2	PFPP11		
BCL6	PFPP11		
BCLAF1	PFPP11		
BEND3	PFPP11		
BEST1	PFPP11		
BET1	PFPP11		
BICD2	PFPP11		
BLOC1S2	PFPP11		
BLVRB	PFPP11		
BMF	PFPP11		
BMP2K	PFPP11		
BPGM	PFPP11		
BRMS1	PFPP11		
BST1	PFPP11		
BTBD7	PFPP11		
BTF3L4	PFPP11		
BYSL	PFPP11		
C10orf82	PFPP11		
C11orf95	PFPP11		
C11orf96	PFPP11		
C12orf4	PFPP11		
C16orf74	PFPP11		
C16orf89	PFPP11		
C17orf80	PFPP11		
C19orf33	PFPP11		
C19orf54	PFPP11		
C19orf67	PFPP11		
C1QTNF2	PFPP11		
C1QTNF4	PFPP11		
C1QTNF6	PFPP11		
C21orf59-TCP10L	PFPP11		
C2CD2L	PFPP11		
C2orf42	PFPP11		
C5orf15	PFPP11		
C6orf62	PFPP11		
C8orf34	PFPP11		
C9orf16	PFPP11		
C9orf40	PFPP11		
C9orf78	PFPP11		
CA10	PFPP11		
CACNA1C	PFPP11		
CACNA1I	PFPP11		
CACNA2D2	PFPP11		
CACNG3	PFPP11		
CACNG8	PFPP11		
CADM2	PFPP11		
CADPS	PFPP11		
CALM1	PFPP11		
CALM3	PFPP11		
CALU	PFPP11		
CAMK4	PFPP11		
CAPN10	PFPP11		
CAPN8	PFPP11		
CAPRIN2	PFPP11		
CAPSL	PFPP11		
CARD8	PFPP11		
CARD9	PFPP11		
CARF	PFPP11		
CASC1	PFPP11		
CASP9	PFPP11		
CATIP	PFPP11		
CBARP	PFPP11		
CBWD1	PFPP11		
CBX6	PFPP11		
CC2D1B	PFPP11		
CCDC107	PFPP11		
CCDC115	PFPP11		
CCDC12	PFPP11		
CCDC122	PFPP11		
CCDC137	PFPP11		
CCDC155	PFPP11		
CCDC189	PFPP11		
CCDC57	PFPP11		
CCDC62	PFPP11		
CCDC85B	PFPP11		
CCDC88C	PFPP11		
CCL3L3	PFPP11		
CCNC	PFPP11		
CCNDBP1	PFPP11		
CCT8	PFPP11		
CD164L2	PFPP11		
CD22	PFPP11		
CD7	PFPP11		
CDA	PFPP11		
CDC42BPB	PFPP11		
CDC42BPG	PFPP11		
CDH23	PFPP11		
CDIPT	PFPP11		
CDKN1A	PFPP11		
CDNF	PFPP11		
CDRT1	PFPP11		
CEL	PFPP11		
CELA1	PFPP11		
CEMIP2	PFPP11		
CENPB	PFPP11		
CENPJ	PFPP11		
CENPS	PFPP11		
CENPT	PFPP11		
CEP104	PFPP11		
CEP41	PFPP11		
CES2	PFPP11		
CES5A	PFPP11		
CFAP46	PFPP11		
CFAP53	PFPP11		
CFD	PFPP11		
CFDP1	PFPP11		
CFLAR	PFPP11		
CHCHD6	PFPP11		
CHIT1	PFPP11		
CHL1	PFPP11		
CHMP4B	PFPP11		
CHRM2	PFPP11		
CHST15	PFPP11		
CHST8	PFPP11		
CLBA1	PFPP11		
CLDN10	PFPP11		
CLDN9	PFPP11		
CLHC1	PFPP11		
CLIC5	PFPP11		
CLVS1	PFPP11		
CLYBL	PFPP11		
CMTM3	PFPP11		
CNDP1	PFPP11		
CNGA1	PFPP11		
CNIH2	PFPP11		
CNNM1	PFPP11		
CNOT1	PFPP11		
CNOT11	PFPP11		
CNPY3	PFPP11		
COA7	PFPP11		
COG4	PFPP11		
COL19A1	PFPP11		
COL6A2	PFPP11		
COL9A3	PFPP11		
COMTD1	PFPP11		
COQ10A	PFPP11		
COQ5	PFPP11		
COX17	PFPP11		
CPD	PFPP11		
CPM	PFPP11		
CPNE8	PFPP11		
CPQ	PFPP11		
CPS1	PFPP11		
CREB3L3	PFPP11		
CRELD1	PFPP11		
CRHBP	PFPP11		
CRX	PFPP11		
CRYBG1	PFPP11		
CRYM	PFPP11		
CRYZL1	PFPP11		
CSDC2	PFPP11		
CSNK1G1	PFPP11		
CSNK1G3	PFPP11		
CST3	PFPP11		
CSTB	PFPP11		
CSTF1	PFPP11		
CTDSP2	PFPP11		
CTHRC1	PFPP11		
CTNS	PFPP11		
CTRB1	PFPP11		
CTTN	PFPP11		
CUL1	PFPP11		
CUX1	PFPP11		
CWC15	PFPP11		
CYB561A3	PFPP11		
